"area_id","item_id","main_type","mid_type","sub_type","price","price_text","item_state","user_name","user_url","delivery_charge_burden","delivery_method","shipment_date_criterion",
"1","m63301553920","コスメ・香水・美容","香水","香水(女性用)","2700","¥ 2,700","新品、未使用","光 dream","https://www.mercari.com/jp/u/602474166/","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"1","m11568825764","メンズ","パンツ","ワークパンツ/カーゴパンツ","2700","¥ 2,700","やや傷や汚れあり","ようちゃん","https://www.mercari.com/jp/u/917170233/","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"1","m10782409807","レディース","バッグ","ポーチ/バニティ","980","¥ 980","新品、未使用","madococonut","https://www.mercari.com/jp/u/610730848/","送料込み(出品者負担)","未定","1~2日で発送",
"1","m70904421698","エンタメ・ホビー","CD","K-POP/アジア","3000","¥ 3,000","目立った傷や汚れなし","ぽ。","https://www.mercari.com/jp/u/640514571/","送料込み(出品者負担)","未定","2~3日で発送",
"1","m26672456458","スポーツ・レジャー","その他スポーツ","サッカー/フットサル","3000","¥ 3,000","未使用に近い","みむみむ","https://www.mercari.com/jp/u/869426888/","送料込み(出品者負担)","ゆうゆうメルカリ便","1~2日で発送",
"1","m23352623123","コスメ・香水・美容","ヘアケア","カラーリング剤","700","¥ 700","新品、未使用","な−","https://www.mercari.com/jp/u/377272685/","送料込み(出品者負担)","未定","2~3日で発送",
"1","m38320919115","コスメ・香水・美容","ベースメーク/化粧品","チーク","800","¥ 800","傷や汚れあり","avene","https://www.mercari.com/jp/u/140028317/","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
"1","m47357749624","エンタメ・ホビー","DVD/ブルーレイ","外国映画","800","¥ 800","未使用に近い","マスカット","https://www.mercari.com/jp/u/912790460/","送料込み(出品者負担)","ゆうゆうメルカリ便","1~2日で発送",
"1","m44952075626","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","1500","¥ 1,500","新品、未使用","みぅみぅ","https://www.mercari.com/jp/u/243444843/","送料込み(出品者負担)","普通郵便(定形、定形外)","4~7日で発送",
"1","m32747012950","家電・スマホ・カメラ","スマホアクセサリー","iPhone用ケース","480","¥ 480","新品、未使用","セイコ","https://www.mercari.com/jp/u/556971599/","送料込み(出品者負担)","ゆうメール","1~2日で発送",
"1","m50624919626","レディース","小物","サングラス/メガネ","11500","¥ 11,500","新品、未使用","プロフ読んで下さい^ ^","https://www.mercari.com/jp/u/393136753/","送料込み(出品者負担)","未定","2~3日で発送",
"1","m79712183752","その他","食料品","加工食品","1900","¥ 1,900","新品、未使用","Ｍ プロフ必読☆コメントでおまけ付き！","https://www.mercari.com/jp/u/651725095/","送料込み(出品者負担)","クリックポスト","2~3日で発送",
"1","m84264896271","ベビー・キッズ","授乳/食事","その他","1280","¥ 1,280","新品、未使用","Mill.SHOP","https://www.mercari.com/jp/u/433402676/","送料込み(出品者負担)","普通郵便(定形、定形外)","1~2日で発送",
"1","m24219221288","家電・スマホ・カメラ","オーディオ機器","イヤフォン","1380","¥ 1,380","新品、未使用","かおり","https://www.mercari.com/jp/u/729856463/","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
"1","m74708225900","レディース","ジャケット/アウター","ロングコート","3999","¥ 3,999","目立った傷や汚れなし","aco","https://www.mercari.com/jp/u/122340075/","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
"1","m85301678477","レディース","時計","腕時計(アナログ)","1380","¥ 1,380","新品、未使用","青猫＊★(ФωФ)★＊","https://www.mercari.com/jp/u/765741795/","送料込み(出品者負担)","普通郵便(定形、定形外)","4~7日で発送",
"1","m46006000979","家電・スマホ・カメラ","スマホアクセサリー","iPhone用ケース","610","¥ 610","新品、未使用","サラ","https://www.mercari.com/jp/u/306230249/","送料込み(出品者負担)","ゆうメール","1~2日で発送",
"1","m65185520745","レディース","トップス","Tシャツ/カットソー(半袖/袖なし)","1250","¥ 1,250","未使用に近い","Ꮪ ♡","https://www.mercari.com/jp/u/446050078/","送料込み(出品者負担)","未定","4~7日で発送",
"1","m98921079978","メンズ","ジャケット/アウター","チェスターコート","11111","¥ 11,111","傷や汚れあり","AYA✩","https://www.mercari.com/jp/u/930565646/","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"1","m42878466804","メンズ","トップス","ニット/セーター","4800","¥ 4,800","未使用に近い","JUN","https://www.mercari.com/jp/u/807753353/","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"1","m49025285302","家電・スマホ・カメラ","スマホアクセサリー","iPhone用ケース","555","¥ 555","やや傷や汚れあり","こいこい","https://www.mercari.com/jp/u/204799701/","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
"1","m76909383901","コスメ・香水・美容","スキンケア/基礎化粧品","洗顔料","5222","¥ 5,222","新品、未使用","あい","https://www.mercari.com/jp/u/515964042/","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
"1","m13077955121","メンズ","ジャケット/アウター","テーラードジャケット","33000","¥ 33,000","未使用に近い","KZY","https://www.mercari.com/jp/u/785975585/","送料込み(出品者負担)","未定","2~3日で発送",
"1","m24616329473","エンタメ・ホビー","CD","K-POP/アジア","3200","¥ 3,200","目立った傷や汚れなし","ぽ。","https://www.mercari.com/jp/u/640514571/","送料込み(出品者負担)","未定","2~3日で発送",
"1","m89007135651","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","1900","¥ 1,900","新品、未使用","✴︎ステラ✴︎","https://www.mercari.com/jp/u/430836136/","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
"1","m88014549034","ベビー・キッズ","その他","母子手帳用品","8888","¥ 8,888","新品、未使用","·˖✩minulet✩˖·","https://www.mercari.com/jp/u/965678912/","送料込み(出品者負担)","普通郵便(定形、定形外)","1~2日で発送",
"1","m16522696716","レディース","小物","サングラス/メガネ","11500","¥ 11,500","新品、未使用","プロフ読んで下さい^ ^","https://www.mercari.com/jp/u/393136753/","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
